#==================================
# IVS source Name Translation Table
#==================================
  # File format      : 26/04/2018
  # Date last revised: 27/04/2018
# Columns      Format             Content
#   1          A8                 IVS source name
#                                 Source name used now or in the past in IVS schedules and databases
#   2          A16                J2000 source name long
#                                 ICRF designations following therecommendations of the IAU Task Group on Designations
#   3          A8                 IERS designations source name constructed from B1950 coordinates

2357-326,J000020.3-322101,2357-326
2357+811,                ,2357+811
2358+406,J000053.0+405401,2358+406
2358-161,J000105.3-155107,2358-161
2358+605,J000107.0+605122,2358+605
2358+189,J000108.6+191433,2358+189
2359+548,                ,2359+548
2359+606,                ,2359+606
2359-221,J000211.9-215309,2359-221
0000-199,J000315.9-194150,0000-199
0000-197,J000318.6-192722,0000-197
0000+212,J000319.3+212944,0000+212
0000-160,                ,0000-160
0001+478,                ,0001+478
0001-121,                ,0001-121
0001-120,J000404.9-114858,0001-120
0001+459,J000416.1+461517,0001+459
0002-478,J000435.6-473619,0002-478
0002+200,J000435.7+201942,0002+200
0002+541,J000504.3+542824,0002+541
0002-350,                ,0002-350
0002+813,                ,0002+813
0002-170,J000517.9-164804,0002-170
0002+051,J000520.2+052410,0002+051
0003+380,J000557.1+382015,0003+380
0003+158,                ,0003+158
0003-302,J000601.1-295550,0003-302
0003+340,                ,0003+340
0003+505,                ,0003+505
0003+669,                ,0003+669
0003-066,J000613.8-062335,0003-066
0003-003,                ,0003-003
0003+123,J000623.0+123553,0003+123
0004+240,J000648.7+242236,0004+240
0005+568,J000748.4+570610,0005+568
0005-239,J000800.3-233918,0005-239
0005+114,J000800.8+114400,0005+114
0005-262,J000826.2-255911,0005-262
0005+683,J000833.4+683722,0005+683
0006-363,J000833.6-360125,0006-363
0005+841,                ,0005+841
0006+061,J000903.9+062821,0006+061
0006+397,J000904.1+400146,0006+397
0007-325,                ,0007-325
0006+771,                ,0006+771
0007+757,                ,0007+757
0007-048,                ,0007-048
0007+332,                ,0007+332
0007+205,                ,0007+205
0007+439,J001030.0+441242,0007+439
IIIZW2  ,J001031.0+105829,0007+106
0007+171,J001033.9+172418,0007+171
0008-311,                ,0008-311
0008-307,J001035.7-302747,0008-307
0008-300,J001045.1-294513,0008-300
0008-421,J001052.5-415310,0008-421
0008-222,J001053.6-215704,0008-222
0008-264,J001101.2-261233,0008-264
0008+320,                ,0008+320
0008+006,                ,0008+006
0008+704,J001131.9+704531,0008+704
0009+081,J001135.2+082355,0009+081
0009-148,J001140.4-143404,0009-148
0009-850,                ,0009-850
0009+467,J001229.3+470434,0009+467
0009+854,                ,0009+854
0009+655,J001237.6+655110,0009+655
0010+336,J001247.3+335338,0010+336
0010-401,J001259.9-395426,0010-401
0010+72Z,                ,0010+72Z
0010+775,                ,0010+775
0010+463,J001316.4+463608,0010+463
0010-155,J001320.7-151347,0010-155
0010+405,J001331.1+405137,0010+405
0011-046,J001354.1-042352,0011-046
0011+189,J001356.3+191041,0011+189
0012+610,J001448.7+611743,0012+610
0012-184,J001502.4-181250,0012-184
0012+319,J001506.1+321613,0012+319
0012-357,                ,0012-357
0012+776,                ,0012+776
0013-184,J001534.3-180725,0013-184
0013-240,                ,0013-240
0013-005,J001611.0-001512,0013-005
0013+323,                ,0013+323
0013+790,                ,0013+790
0014+813,J001708.4+813508,0014+813
0015-054,J001735.8-051241,0015-054
0015+145,                ,0015+145
0015+529,J001751.7+531219,0015+529
0015-280,J001759.0-274821,0015-280
0015+781,                ,0015+781
0016-223,                ,0016-223
0017+296,                ,0017+296
0017+200,J001937.8+202145,0017+200
0017+257,J001939.7+260252,0017+257
0017-307,J001942.6-303119,0017-307
0016+731,J001945.7+732730,0016+731
0016+803,                ,0016+803
UG00192 ,                ,UG00192 
0017+590,                ,0017+590
0018+715,J002102.8+715020,0018+715
0018-194,                ,0018-194
0018+729,J002127.3+731241,0018+729
0019+451,J002206.6+452533,0019+451
0019-339,                ,0019-339
4C+00.02,J002225.4+001456,0019-000
0019+058,J002232.4+060804,0019+058
0020+446,J002335.4+445635,0020+446
0021-084,J002400.6-081110,0021-084
0021-686,                ,0021-686
0021+464,J002421.5+464406,0021+464
0021+243,J002427.3+243926,0021+243
0022-423,J002442.9-420203,0022-423
0022-044,J002445.9-041201,0022-044
0022-227,J002524.2-222747,0022-227
0022+390,J002526.1+391935,0022+390
0023-263,J002549.1-260212,0023-263
0023-354,                ,0023-354
OB338   ,J002641.7+350842,0024+348
0024-114,J002651.4-111252,0024-114
0024+597,J002703.2+595852,0024+597
0024+092,J002705.7+092957,0024+092
0024+224,J002715.3+224158,0024+224
0025+449,                ,0025+449
0025+197,J002829.8+200026,0025+197
0025+797,                ,0025+797
0026-015,J002900.9-011341,0026-015
0026+048,J002903.5+050934,0026+048
0026+346,J002914.2+345632,0026+346
0027+056,J002945.8+055440,0027+056
0027+703,J003014.4+703740,0027+703
0027-426,                ,0027-426
0027-024,J003031.8-021156,0027-024
0026+845,                ,0026+845
0027+587,                ,0027+587
0028+592,                ,0028+592
0028-396,                ,0028-396
0029-147,J003156.4-142619,0029-147
0030+196,                ,0030+196
0030+765,                ,0030+765
0031+799,                ,0031+799
0032+276,J003443.4+275425,0032+276
0032-011,                ,0032-011
0032+612,J003525.3+613030,0032+612
0032+801,                ,0032+801
0033+143,J003544.0+143801,0033+143
0033-088,J003546.2-083554,0033-088
0033+142,J003635.1+143403,0033+142
0034-014,                ,0034-014
0034-220,J003714.8-214524,0034-220
0034+108,J003726.0+110950,0034+108
0034+078,J003732.1+080813,0034+078
0035-534,                ,0035-534
0034+393,                ,0034+393
0035+367,J003746.1+365910,0035+367
0035+238,J003758.2+240711,0035+238
0033+845,                ,0033+845
0035-252,J003814.7-245902,0035-252
0035+121,J003818.0+122731,0035+121
0035-024,J003820.5-020740,0035-024
0035-037,J003820.7-032958,0035-037
0035+413,J003824.8+413706,0035+413
0035+503,J003828.4+503525,0035+503
0036-216,J003829.9-212004,0036-216
0036-099,J003906.2-094246,0036-099
0036-191,J003916.9-185405,0036-191
0036+030,                ,0036+030
0036+748,                ,0036+748
0036+767,                ,0036+767
0037+139,J003939.6+141157,0037+139
0037+487,J003946.9+490033,0037+487
0037-593,J004007.8-590352,0037-593
0037+011,                ,0037+011
0037-329,J004017.5-324327,0037-329
0038-326,J004030.6-322520,0038-326
0038-020,J004057.6-014632,0038-020
0038+319,                ,0038+319
0038+133,J004117.2+133927,0038+133
0038-019,                ,0038-019
0037+809,                ,0037+809
0039+211,                ,0039+211
0039+230,J004204.5+232001,0039+230
0039+568,J004219.4+570836,0039+568
0040+098,J004244.3+100949,0040+098
0040+517,                ,0040+517
0044-846,                ,0044-846
0041+660,                ,0041+660
0042+186,J004442.2+185505,0042+186
0026+892,                ,0026+89G
0041+677,J004450.7+680302,0041+677
0042+456,                ,0042+456
0042-373,                ,0042-373
0042+754,                ,0042+754
0043-392,                ,0043-392
0043+246,J004607.8+245632,0043+246
0043-268,                ,0043-268
0042+750,                ,0042+750
0044+387,J004647.5+390047,0044+387
0044+566,J004700.4+565742,0044+566
0044+030,                ,0044+030
NGC0253 ,                ,0045-255
0045+243,J004743.8+243515,0045+243
NGC0262 ,J004847.1+315725,0046+316
0046+063,J004858.7+064006,0046+063
0046-315,J004922.9-311627,0046-315
0046+511,J004937.9+512813,0046+511
0047+023,J004943.2+023703,0047+023
0047-579,J004959.4-573827,0047-579
0047-051,J005021.5-045220,0047-051
0048-097,J005041.3-092905,0048-097
0048-071,J005108.2-065002,0048-071
0048-427,J005109.5-422633,0048-427
0046+839,                ,0046+839
0048+447,J005136.4+445935,0048+447
0049+003,                ,0049+003
0049+437,J005227.8+440254,0049+437
0046+861,J005232.8+862744,0046+861
0050-287,J005252.5-282554,0050-287
0051-077,J005336.5-072729,0051-077
0051+291,                ,0051+291
0051+679,J005417.6+681111,0051+679
0051+706,J005417.6+705356,0051+706
0052-201,J005432.9-195301,0052-201
0052-125,J005511.7-121757,0052-125
0053-160,                ,0053-160
0053-130,                ,0053-130
0052+781,                ,0052+781
0054+161,J005655.2+162513,0054+161
0054-006,J005717.0-002433,0054-006
0055-016,                ,0055-016
NGC0315 ,J005748.8+302108,0055+300
0055-328,J005802.2-323420,0055-328
